2015/1/1,2900575,8,-4
2015/1/2,3158211,13,0
2015/1/3,3596487,16,3
2015/1/4,3939672,15,4
2015/1/5,4101790,10,2
2015/1/6,4149164,7,-1
2015/1/7,4161928,7,-2
2015/1/8,4182622,12,-1
2015/1/9,4153509,14,1
2015/1/10,3913704,14,1
2015/1/11,3635468,10,1
2015/1/12,4011329,8,3
2015/1/13,3969860,8,4
2015/1/14,4225259,10,4
2015/1/15,4106437,11,3
2015/1/16,4074699,7,-1
2015/1/17,4053950,9,-1
2015/1/18,3827153,11,0
2015/1/19,4099085,10,2
2015/1/20,4166022,11,4
2015/1/21,4091559,7,0
2015/1/22,4197553,11,-2
2015/1/23,4153027,15,2
2015/1/24,3841539,11,7
2015/1/25,3658452,10,6
2015/1/26,3969836,6,2
2015/1/27,4250943,3,0
2015/1/28,4146675,2,-1
2015/1/29,4155199,3,-1
2015/1/30,4015565,4,-2
2015/1/31,3895604,5,-1
2015/2/1,3678729,7,1
2015/2/2,3983918,7,2
2015/2/3,3962811,7,2
2015/2/4,3904604,7,-2
2015/2/5,3812319,9,-2
2015/2/6,3808081,12,-1
2015/2/7,3503405,6,0
2015/2/8,3476838,6,-4
2015/2/9,3562045,15,0
2015/2/10,3221193,15,0
2015/2/11,2909801,15,0
2015/2/12,2934951,15,0
2015/2/13,2847925,19,3
2015/2/14,2526925,15,10
2015/2/15,2311930,15,9
2015/2/16,2243961,14,3
2015/2/17,2121020,12,3
2015/2/18,1589939,11,1
2015/2/19,1924576,10,4
2015/2/20,1978058,11,8
2015/2/21,2012807,11,3
2015/2/22,2057638,10,4
2015/2/23,2129969,12,4
2015/2/24,2215586,10,6
2015/2/25,2345116,10,6
2015/2/26,2617715,6,3
2015/2/27,2906772,4,2
2015/2/28,1675678,9,1
2015/3/1,2900464,13,2
2015/3/2,3334082,12,6
2015/3/3,3492606,6,1
2015/3/4,3597890,5,1
2015/3/5,1798044,8,2
2015/3/6,1787992,12,3
2015/3/7,3559113,10,5
2015/3/8,2972454,9,4
2015/3/9,3772564,7,0
2015/3/10,3868938,11,-1
2015/3/11,3881363,16,2
2015/3/12,3935078,19,6
2015/3/13,3845654,15,7
2015/3/14,3941030,16,8
2015/3/15,3710792,17,10
2015/3/16,3736062,16,11
2015/3/17,3862429,14,12
